eta_Z2_sobre_Z1,R_p,R_I
2.2331343817850464,0.38140523596307196,0.14546995402004662
2.2503691020466636,0.3846852658239159,0.14798275374201683
2.267736835164523,0.38795560937534784,0.15050955484579748
2.285238607695463,0.3912162132409113,0.1530501255025582
2.302875454119006,0.3944670249355585,0.15560423376151056
2.320648416898504,0.397707992866042,0.15817164758953572
2.3385585465427567,0.4009390663311568,0.16075213491049972
2.3566069016681026,0.40416019552182947,0.16334546364424343
2.3747945490609914,0.40737133152106003,0.1659514017452414
2.3931225637410396,0.41057242630371477,0.1685697172409193
2.411592029024571,0.41376343273617266,0.17120017826962128
2.4302040365886466,0.4169443045758266,0.17384255311821967
2.4489596865355954,0.42011499647044115,0.17649661025935878
2.4678600874580323,0.42327546395736654,0.1791621183883239
2.4869063565043885,0.42642566346261357,0.18183884645953016
2.506099619444941,0.42956555229978755,0.1845265637226215
2.5254410107383527,0.43269508866888434,0.18722503975817367
2.5449316735987297,0.4358142316549509,0.18993404451299523
2.564572760063192,0.4389229412266102,0.1926533483350183
2.5843654310599633,0.4420211782344517,0.1953827220077729
2.604310856476998,0.4451089044092933,0.1981219367844414
2.624410215231124,0.44818608236030966,0.20087076442148227
2.6446646953377266,0.45125267557303417,0.20362897721182202
2.66507549398097,0.45430864840723406,0.2063963480176078
2.6856438175845567,0.45735396609465895,0.20917265030251445
2.7063708818830383,0.4603885947366684,0.21195765816360426
2.727257911993673,0.4634125013017358,0.21475114636273127
2.748306142488838,0.4664256536228335,0.21755289035748746
2.769516817469004,0.46942802039469994,0.22036266633168683
2.7908911906362674,0.47241957117098954,0.22318025122538165
2.812430525368455,0.47540027636130927,0.22600542276440924
2.8341360947937977,0.47837010722814177,0.22883795948946387
2.8560091818661824,0.481329035883658,0.23167764078469172
2.8780510794409824,0.4842770352864207,0.23452424690580514
2.9002630903514777,0.48721407923798105,0.23737755900771368
2.922646527485853,0.4901401423793689,0.24023735917166805
2.945202713864811,0.49305520018748183,0.2431034304319178
2.9679329827197636,0.4959592289713703,0.2459755568018761
2.9908386775716385,0.4988522058684246,0.24885352329979307
3.013921152310291,0.5017341088404638,0.25173711597393433
3.0371817712745264,0.5046049166697277,0.25462612192726286
3.060621909332745,0.5074646089547779,0.2575203293416256
3.0842429519642045,0.5103131661063025,0.2604195275014387
3.1080462953409134,0.5131505693428349,0.2633235068168756
3.1320333464101533,0.5159768006863814,0.26623205884655377
3.1562055229776393,0.5187918429579642,0.269144976319721
3.180564253791325,0.52159567977308,0.2720620531579414
3.2051109786258474,0.5243882955370744,0.2749830844962781
3.2298471483676323,0.5271696754404392,0.27790786670397805
3.2547742251006495,0.5299398054540276,0.28083619740465265
3.2798936821928324,0.5326986723241951,0.28376787549596016
3.3052070043831674,0.535446263567865,0.2867027011687875
3.3307156878694446,0.53818256746752,0.28964047592593173
3.356421240396705,0.5409075730661262,0.2925810026002867
3.3823251813463506,0.5436212701619841,0.29552408537252894
3.4084290418259546,0.5463236493035153,0.2984695297883104
3.43473436475976,0.5490147017839828,0.30141714277495557
3.461242704979875,0.5516944196361488,0.3043667326576671
3.487955629318178,0.554362795626871,0.3073181091752399
3.5148747166989276,0.5570198232516383,0.3102710834952864
3.542001558232087,0.5596654967290515,0.313225468228976
3.5693377573073715,0.562299810995245,0.3161810774452882
3.5968849296890193,0.5649227616982572,0.31913772668478585
3.6246447036112945,0.5675343451923476,0.32209523297290676
3.6526187198747286,0.5701345585322646,0.3250534148327802
3.6808086319431026,0.5727233994674639,0.32801209229756817
3.7092161060411786,0.5753008664362808,0.33097108692233534
3.737842821253187,0.5778669585600587,0.33393022179545256
3.7666904696220658,0.5804216756372323,0.33688932154953255
3.795760756249483,0.5829650181373733,0.33984821237190804
3.8250553993966134,0.5854969871951925,0.3428067220146474
3.8545761305857007,0.5880175846045077,0.3457646798041194
3.884324694702404,0.5905268128121738,0.34872191665010416
3.9143028500989328,0.5930246749119793,0.3516782650544587
3.9445123686979775,0.5955111746385107,0.35463355911933875
3.9749550360974437,0.5979863163609854,0.35758763455498055
4.005632651675993,0.6004501050770561,0.3605403286870477
4.036547028699397,0.6029025464065872,0.36349148046354707
4.067699994427721,0.6053436465854065,0.36644093046131754
4.09909339022332,0.6077734124590317,0.3693885208920963
4.130729071659682,0.6101918514763747,0.3723340956081661
4.1626089086311024,0.612598971683425,0.37527750010758976
4.194734785463209,0.6149947817169145,0.37821858153903526
4.227108601024339,0.617379290797963,0.3811571887061958
4.259732268837781,0.6197525087257092,0.38409317207181026
4.292607717194863,0.6221144458709249,0.38702638376128795
4.325736889268946,0.6244651131696188,0.3899566775659449
4.359121743230269,0.6268045221166262,0.3928839089458521
4.392764252361694,0.6291326847591892,0.39580793503230527
4.426666405175339,0.6314496136905289,0.39872861462991815
4.460830205530115,0.6337553220434093,0.4016458082183455
4.495257672750168,0.6360498234836955,0.4045593779536403
4.5299508417442365,0.6383331322039081,0.407469187669252
4.5649117631259255,0.6406052629167729,0.41037510287666773
4.600142503334918,0.6428662308487707,0.41327699076570495
4.635645144759109,0.6451160517336851,0.4161747202044587
4.671421785857698,0.6473547418061524,0.4190681617389102
4.707474541285214,0.649582317795212,0.42195718759219986
4.743805542016518,0.6517987969178626,0.42484167166357306
4.7804169354727435,0.6540041968726201,0.42772148952700084
4.817310885648243,0.6561985358330849,0.4305965184294843
4.854489573238471,0.6583818324415122,0.4334666372890434
